operation,run_time_ms
requires_grad_,0.0017055999487638474
zero_,0.007676800340414047
requires_grad_,0.0015552000142633915
zero_,0.007654400169849395
requires_grad_,0.0015519999898970128
zero_,0.007644800096750259
requires_grad_,0.001548799965530634
zero_,0.007606399804353714
requires_grad_,0.00144640002399683
zero_,0.007651200145483017
requires_grad_,0.001548799965530634
zero_,0.00836160033941269
requires_grad_,0.0015424000099301337
zero_,0.00759039968252182
requires_grad_,0.001539199985563755
zero_,0.00920960009098053
requires_grad_,0.0014911999925971032
zero_,0.007532799988985062
requires_grad_,0.0014879999682307244
zero_,0.007568000257015229
requires_grad_,0.001414399966597557
zero_,0.007526399940252304
to,0.001926399953663349
full,0.01010880023241043
conv2d,0.11591039896011351
leaky_relu,0.04359039962291718
conv2d,1.1722304105758667
__add__,0.002627200074493885
batch_norm,0.06509759724140168
leaky_relu,0.026745600253343584
conv2d,1.0419104099273682
__add__,0.0026240000501275063
batch_norm,0.06703679859638215
leaky_relu,0.027321600168943406
conv2d,1.3663872241973878
__add__,0.0026559999212622644
batch_norm,0.0656800001859665
leaky_relu,0.026835200935602186
conv2d,0.3228160083293915
sigmoid,0.017497599683701993
view,0.00811839997768402
squeeze,0.007536000013351441
binary_cross_entropy,0.06715199947357178
numel,0.0014112000353634357
ones_like,0.010425599664449692
randn,0.0036896001547574997
conv_transpose2d,0.3740927934646606
__add__,0.002579200081527233
batch_norm,0.06697920262813568
relu,0.02805439904332161
conv_transpose2d,1.3553087711334229
__add__,0.0033695999532938003
batch_norm,0.06839680075645446
relu,0.027190399914979936
conv_transpose2d,1.3248768329620362
__add__,0.0034175999462604523
batch_norm,0.06588799953460693
relu,0.028435199707746505
conv_transpose2d,1.483638381958008
__add__,0.003388800099492073
batch_norm,0.1971999943256378
relu,0.04831039905548096
conv_transpose2d,0.26092479228973386
tanh,0.0272767998278141
fill_,0.007648000121116638
detach,0.0020927999168634413
conv2d,0.14775999784469604
leaky_relu,0.048444798588752745
conv2d,1.4870687961578368
__add__,0.0032928001135587694
batch_norm,0.06756159961223603
leaky_relu,0.028313600271940232
conv2d,1.3172671794891357
__add__,0.0032928001135587694
batch_norm,0.06637119948863983
leaky_relu,0.027350400388240815
conv2d,1.7151904106140137
__add__,0.0032896000891923906
batch_norm,0.06675519943237304
leaky_relu,0.032140800356864924
conv2d,0.36332800388336184
sigmoid,0.01798720024526119
view,0.008115200325846672
squeeze,0.0077632002532482145
binary_cross_entropy,0.0679423987865448
numel,0.001414399966597557
ones_like,0.010127999633550645
zeros,0.00041600000113248823
is_grad_enabled,0.001331199984997511
is_grad_enabled,0.0013376000337302686
mul_,0.00941760018467903
add_,0.008313599973917007
mul_,0.00947519987821579
addcmul_,0.008729600161314011
sqrt,0.009484799951314926
__truediv__,0.011219199746847153
add_,0.009404800087213516
addcdiv_,0.008739200234413148
mul_,0.009379199892282485
add_,0.008396799862384795
mul_,0.009583999961614608
addcmul_,0.008694399893283845
sqrt,0.009523200243711472
__truediv__,0.011523199826478958
add_,0.00952640026807785
addcdiv_,0.008825600147247314
mul_,0.009567999839782714
add_,0.008329600095748901
mul_,0.009292799979448318
addcmul_,0.008752000331878663
sqrt,0.009161599725484849
__truediv__,0.0107744000852108
add_,0.009382399916648864
addcdiv_,0.008767999708652496
mul_,0.009241600334644318
add_,0.00836160033941269
mul_,0.009167999774217606
addcmul_,0.008713600039482117
sqrt,0.009084799885749817
__truediv__,0.010937599837779999
add_,0.009340800344944
addcdiv_,0.008748800307512284
mul_,0.009865599870681762
add_,0.00835840031504631
mul_,0.009350399672985076
addcmul_,0.008761599659919739
sqrt,0.009267199784517288
__truediv__,0.011292800307273865
add_,0.009571199864149093
addcdiv_,0.008774399757385254
mul_,0.009337600320577621
add_,0.008259200304746629
mul_,0.009321600198745728
addcmul_,0.008726400136947633
sqrt,0.009356799721717834
__truediv__,0.011772800236940384
add_,0.009318400174379349
addcdiv_,0.008665599673986436
mul_,0.009372799843549728
add_,0.008294399827718735
mul_,0.009305600076913834
addcmul_,0.008854400366544724
sqrt,0.009193599969148637
__truediv__,0.010755199939012527
add_,0.009347199648618697
addcdiv_,0.008755200356245042
mul_,0.010358399897813796
add_,0.010371199995279311
mul_,0.010307200253009796
addcmul_,0.01085119992494583
sqrt,0.010441599786281586
__truediv__,0.011369600147008895
add_,0.010300800204277039
addcdiv_,0.010704000294208527
mul_,0.009276799857616425
add_,0.008303999900817871
mul_,0.009206400066614152
addcmul_,0.008729600161314011
sqrt,0.009324800223112106
__truediv__,0.010918399691581726
add_,0.009414400160312652
addcdiv_,0.008713600039482117
mul_,0.009279999881982803
add_,0.008364800363779068
mul_,0.009363199770450591
addcmul_,0.008710400015115739
sqrt,0.009091199934482574
__truediv__,0.01056319996714592
add_,0.009180799871683121
addcdiv_,0.008966399729251862
mul_,0.009219200164079667
add_,0.008271999657154083
mul_,0.009321600198745728
addcmul_,0.008556800335645676
sqrt,0.009356799721717834
__truediv__,0.01103999987244606
add_,0.009305600076913834
addcdiv_,0.008640000224113464
is_grad_enabled,0.0013504000380635262
requires_grad_,0.0014592000283300877
zero_,0.0073632001876831055
requires_grad_,0.001571200042963028
zero_,0.007420799881219864
requires_grad_,0.0014368000440299511
zero_,0.007583999633789062
requires_grad_,0.0014751999638974666
zero_,0.009622400254011154
requires_grad_,0.0014783999882638454
zero_,0.007420799881219864
requires_grad_,0.0014783999882638454
zero_,0.007379200309514999
requires_grad_,0.0014688000082969666
zero_,0.007385600358247757
requires_grad_,0.0014911999925971032
zero_,0.007353600114583969
requires_grad_,0.0014527999795973302
zero_,0.007379200309514999
requires_grad_,0.0014720000326633453
zero_,0.007840000092983246
requires_grad_,0.0014688000082969666
zero_,0.007548800110816956
requires_grad_,0.0014655999839305878
zero_,0.0073632001876831055
requires_grad_,0.0014495999552309514
zero_,0.0073183998465538025
fill_,0.00764160007238388
conv2d,0.21284159719944
leaky_relu,0.04383040070533752
conv2d,1.2435872077941896
__add__,0.0027904000133275987
batch_norm,0.06568639874458312
leaky_relu,0.026444800198078156
conv2d,1.102390432357788
__add__,0.002764800004661083
batch_norm,0.06521280109882355
leaky_relu,0.026419200748205186
conv2d,1.4396159648895264
__add__,0.0027968000620603563
batch_norm,0.06635199785232544
leaky_relu,0.026607999205589296
conv2d,0.3292255997657776
sigmoid,0.018166400492191315
view,0.008931199833750725
squeeze,0.007612800225615501
binary_cross_entropy,0.06440320014953613
numel,0.0013952000066637994
ones_like,0.010022400319576264
zeros,0.0003776000114157796
is_grad_enabled,0.0012671999633312226
is_grad_enabled,0.0012223999947309494
mul_,0.00926079973578453
add_,0.00820479989051819
mul_,0.009347199648618697
addcmul_,0.008495999872684479
sqrt,0.010022400319576264
__truediv__,0.011180800199508668
add_,0.00968639999628067
addcdiv_,0.008656000345945358
mul_,0.009391999989748
add_,0.008217599987983704
mul_,0.009116800129413604
addcmul_,0.008550400286912918
sqrt,0.008982399851083756
__truediv__,0.01096000000834465
add_,0.009200000017881394
addcdiv_,0.008614400029182434
mul_,0.009161599725484849
add_,0.008534400165081025
mul_,0.00926079973578453
addcmul_,0.008540800213813782
sqrt,0.009078399837017059
__truediv__,0.010729599744081497
add_,0.009177599847316743
addcdiv_,0.009468799829483033
mul_,0.010358399897813796
add_,0.010451199859380722
mul_,0.010255999863147736
addcmul_,0.011110399663448334
sqrt,0.01021760031580925
__truediv__,0.012479999661445617
add_,0.010249599814414978
addcdiv_,0.010911999642848969
mul_,0.009151999652385712
add_,0.008179199695587159
mul_,0.009116800129413604
addcmul_,0.008524800091981888
sqrt,0.009136000275611877
__truediv__,0.010806400328874588
add_,0.009161599725484849
addcdiv_,0.008540800213813782
mul_,0.009142400324344635
add_,0.008153600245714187
mul_,0.009536000341176987
addcmul_,0.008486399799585343
sqrt,0.00894080027937889
__truediv__,0.01045759990811348
add_,0.009097599983215332
addcdiv_,0.008566399663686752
mul_,0.009171199798583985
add_,0.008185599744319916
mul_,0.009305600076913834
addcmul_,0.008627200126647949
sqrt,0.009228800237178803
__truediv__,0.011379200220108032
add_,0.009299200028181076
addcdiv_,0.008656000345945358
mul_,0.009139200299978256
add_,0.008320000022649765
mul_,0.009571199864149093
addcmul_,0.008607999980449676
sqrt,0.009081599861383438
__truediv__,0.010463999956846238
add_,0.009187199920415879
addcdiv_,0.008703999966382981
mul_,0.009139200299978256
add_,0.008217599987983704
mul_,0.009065599739551544
addcmul_,0.008601599931716919
sqrt,0.00958079993724823
__truediv__,0.010598400235176086
add_,0.009196799993515015
addcdiv_,0.008601599931716919
mul_,0.009283199906349182
add_,0.00820479989051819
mul_,0.00928959995508194
addcmul_,0.00854720026254654
sqrt,0.00936639979481697
__truediv__,0.011126399785280228
add_,0.00936639979481697
addcdiv_,0.008620800077915191
mul_,0.00987199991941452
add_,0.008217599987983704
mul_,0.009004800021648407
addcmul_,0.008540800213813782
sqrt,0.009065599739551544
__truediv__,0.010639999806880952
add_,0.009142400324344635
addcdiv_,0.008723200112581254
mul_,0.009123200178146362
add_,0.008236800134181977
mul_,0.009145600348711013
addcmul_,0.00856959968805313
sqrt,0.009145600348711013
__truediv__,0.011161600053310395
add_,0.009279999881982803
addcdiv_,0.008620800077915191
mul_,0.00920960009098053
add_,0.008243200182914735
mul_,0.009187199920415879
addcmul_,0.008591999858617782
sqrt,0.009862399846315383
__truediv__,0.011142399907112122
add_,0.00939520001411438
addcdiv_,0.008684799820184708
is_grad_enabled,0.001369599997997284
